wl	G
589.15	1150.292222
589.574	1140.67
589.998	1133.388889
590.422	1118.305556
590.846	1105.302222
591.27	1098.54
591.694	1106.342222
592.118	1089.697778
592.542	1066.032222
592.966	1061.091111
593.389	1055.11
593.813	1042.886667
594.236	1046.527778
594.66	1035.605556
595.083	1025.463333
595.507	1017.141111
595.93	1012.981111
596.354	1011.161111
596.777	1002.058889
597.2	990.6155556
597.623	980.7333333
598.046	972.9311111
598.469	963.8288889
598.892	959.6677778
599.315	956.5477778
599.738	950.0455556
600.161	964.3488889
600.584	960.7077778
601.006	961.7477778
601.429	962.2677778
601.851	962.5277778
602.274	971.63
602.696	977.6122222
603.119	977.6122222
603.541	972.1511111
603.964	951.6066667
604.386	954.7277778
604.808	960.45
605.23	956.81
605.652	951.0888889
606.074	946.1477778
606.496	933.6644444
606.918	930.2833333
607.34	936.2644444
607.762	934.4433333
608.184	941.2044444
608.606	933.4022222
609.027	934.9622222
609.449	927.4211111
609.87	923.78
610.292	919.3588889
610.713	914.4177778
611.135	903.7555556
611.556	900.3755556
611.977	888.1522222
612.398	878.01
612.82	871.7688889
613.241	858.7655556
613.662	853.5644444
614.083	849.6633333
614.504	848.3633333
614.925	834.32
615.345	834.06
615.766	832.5
616.187	829.1188889
616.608	818.1955556
617.028	829.3777778
617.449	822.3566667
617.869	825.7377778
618.29	814.0344444
618.71	825.7377778
619.131	812.2144444
619.551	799.9922222
619.971	793.2311111
620.391	790.3711111
620.811	782.57
621.231	784.13
621.651	775.2877778
622.071	782.31
622.491	772.6877778
622.911	773.9877778
623.331	773.2066667
623.751	766.1844444
624.17	768.7844444
624.59	766.7033333
625.009	770.6044444
625.429	764.1033333
625.848	750.84
626.268	752.66
626.687	743.2977778
627.106	745.1188889
627.526	756.0422222
627.945	750.3211111
628.364	739.1388889
628.783	729.2566667
629.202	734.1977778
629.621	726.1355556
630.04	714.9533333
630.459	719.1144444
630.878	706.3711111
631.296	692.5877778
631.715	690.2477778
632.134	698.31
632.552	699.87
632.971	688.9477778
633.389	691.2888889
633.807	692.0688889
634.226	689.9888889
634.644	693.89
635.062	692.59
635.48	693.63
635.899	687.6477778
636.317	670.4833333
636.735	665.0222222
637.153	658.26
637.57	658.78
637.988	651.4977778
638.406	647.0766667
638.824	643.4355556
639.241	626.5311111
639.659	612.2277778
640.077	620.03
640.494	625.2311111
640.912	622.3711111
641.329	608.8477778
641.746	609.1077778
642.164	604.1666667
642.581	594.8044444
642.998	596.1055556
643.415	601.8277778
643.832	605.4688889
644.249	597.6666667
644.666	593.5055556
645.083	597.1466667
645.5	592.2055556
645.916	595.0666667
646.333	609.37
646.75	611.45
647.166	605.4677778
647.583	585.9633333
647.999	584.9233333
648.416	589.3444444
648.832	581.5422222
649.249	582.5822222
649.665	575.56
650.081	569.3188889
650.497	565.6777778
650.913	566.4588889
651.329	574.26
651.745	573.22
652.161	571.1388889
652.577	577.6411111
652.993	572.96
653.409	570.1
653.824	558.1366667
654.24	557.0966667
654.655	555.2755556
655.071	545.1333333
655.486	543.3122222
655.902	542.5322222
656.317	533.17
656.732	526.9288889
657.148	520.6866667
657.563	525.8877778
657.978	527.7088889
658.393	523.5477778
658.808	527.7088889
659.223	520.9477778
659.638	511.0655556
660.053	513.1455556
660.467	506.3844444
660.882	511.0655556
661.297	505.6044444
661.711	494.4211111
662.126	491.8211111
662.54	485.84
662.955	486.62
663.369	488.18
663.784	480.3788889
664.198	485.32
664.612	479.3388889
665.026	477.7788889
665.44	474.3988889
665.854	471.0177778
666.268	471.7977778
666.682	460.3555556
667.096	456.4555556
667.51	454.3744444
667.924	448.1322222
668.337	453.5933333
668.751	457.2333333
669.164	461.3933333
669.578	462.4333333
669.991	456.1922222
670.405	463.7333333
670.818	463.9933333
671.231	471.2755556
671.645	479.0777778
672.058	478.0377778
672.471	469.7166667
672.884	462.6955556
673.297	459.0555556
673.71	460.3555556
674.123	458.2755556
674.536	454.6344444
674.948	445.2722222
675.361	440.8511111
675.774	434.87
676.186	429.6688889
676.599	440.3311111
677.011	443.4511111
677.424	445.0111111
677.836	448.6522222
678.248	450.7322222
678.661	443.19
679.073	446.8311111
679.485	442.41
679.897	450.4711111
680.309	440.0688889
680.721	437.7288889
681.133	436.4288889
681.545	431.2266667
681.957	420.5644444
682.368	424.2055556
682.78	409.3822222
683.192	408.6022222
683.603	400.2811111
684.015	408.3433333
684.426	408.0833333
684.837	409.3833333
685.249	411.4644444
685.66	420.3066667
686.071	422.1266667
686.482	430.9688889
686.893	431.7488889
687.304	431.7488889
687.715	432.5288889
688.126	433.5688889
688.537	431.7488889
688.948	434.87
689.359	428.1088889
689.769	429.67
690.18	428.6288889
690.591	419.2666667
691.001	427.5877778
691.411	416.4044444
691.822	414.0633333
692.232	408.3422222
692.642	403.6611111
693.053	408.8622222
693.463	410.9422222
693.873	406.0011111
694.283	420.3044444
694.693	424.7255556
695.103	435.6488889
695.513	437.21
695.922	438.51
696.332	441.37
696.742	440.59
697.151	434.6088889
697.561	433.8288889
697.97	425.2466667
698.38	414.3244444
698.789	403.1411111
699.199	398.98
699.608	403.6611111
700.017	401.0611111
700.426	402.3611111
700.835	406.7822222
701.244	402.1011111
701.653	396.64
702.062	397.42
702.471	401.0611111
702.88	404.9622222
703.289	403.6622222
703.697	397.16
704.106	388.5777778
704.514	388.8377778
704.923	391.9588889
705.331	392.2188889
705.74	394.04
706.148	387.2788889
706.556	382.0777778
706.965	379.4766667
707.373	385.9788889
707.781	391.7
708.189	385.1977778
708.597	392.4788889
709.005	392.7388889
709.413	391.9577778
709.82	393.2577778
710.228	393.2577778
710.636	387.5366667
711.043	385.4555556
711.451	385.4555556
711.858	383.8955556
712.266	379.7355556
712.673	381.5555556
713.081	380.5155556
713.488	384.1566667
713.895	389.0977778
714.302	389.6177778
714.709	389.6177778
715.116	385.9766667
715.523	389.8777778
715.93	385.9766667
716.337	386.2366667
716.744	382.5955556
717.15	382.8555556
717.557	379.9944444
717.964	383.3755556
718.37	385.4566667
718.777	388.8377778
719.183	390.6577778
719.589	393.5177778
719.996	397.4188889
720.402	396.3788889
720.808	392.2177778
721.214	393.2577778
721.62	388.3166667
722.026	381.5544444
722.432	375.8333333
722.838	376.3533333
723.244	371.6722222
723.65	374.2733333
724.055	375.0533333
724.461	370.1122222
724.867	363.6111111
725.272	362.8311111
725.678	366.2122222
726.083	366.2122222
726.488	362.5722222
726.894	372.7155556
727.299	363.0933333
727.704	370.8955556
728.109	389.1
728.514	398.7222222
728.919	397.6811111
729.324	403.6622222
729.729	404.9622222
730.134	408.3422222
730.538	406.5211111
730.943	408.0811111
731.348	400.2788889
731.752	390.1366667
732.157	380.7744444
732.561	385.9766667
732.966	379.4755556
733.37	375.0544444
733.774	369.5933333
734.178	365.9522222
734.582	362.8322222
734.987	364.6533333
735.391	369.0744444
735.795	377.3966667
736.198	381.2966667
736.602	379.2155556
737.006	381.5566667
737.41	378.4366667
737.813	376.8766667
738.217	379.2166667
738.621	379.2166667
739.024	379.9966667
739.427	365.4333333
739.831	365.1733333
740.234	364.3933333
740.637	370.1144444
741.04	368.5533333
741.444	374.2744444
741.847	373.2344444
742.25	370.3733333
742.652	362.3111111
743.055	378.1744444
743.458	378.9544444
743.861	383.6355556
744.264	376.0933333
744.666	387.5366667
745.069	380.2555556
745.471	380.5155556
745.874	382.3355556
746.276	390.9177778
746.678	382.0755556
747.081	376.8744444
747.483	370.6333333
747.885	369.8533333
748.287	371.6733333
748.689	372.4533333
749.091	375.0533333
749.493	375.5744444
749.895	366.9922222
750.296	367.7722222
750.698	367.2522222
751.1	364.3911111
751.501	372.4533333
751.903	356.59
752.304	356.59
752.706	353.73
753.107	351.1288889
753.508	351.3888889
753.909	351.9088889
754.311	349.3088889
754.712	351.65
755.113	345.6688889
755.514	348.5288889
755.915	352.43
756.315	360.4911111
756.716	366.4722222
757.117	366.2122222
757.518	370.6333333
757.918	371.4133333
758.319	370.6333333
758.719	376.3544444
759.12	385.9766667
759.52	385.9766667
759.92	387.5377778
760.321	385.9777778
760.721	387.2777778
761.121	390.1388889
761.521	389.0988889
761.921	400.8011111
762.321	397.42
762.721	393.5188889
763.12	377.9144444
763.52	373.7533333
763.92	369.8522222
764.319	365.9522222
764.719	354.5088889
765.118	357.6288889
765.518	342.5455556
765.917	340.4655556
766.317	338.9055556
766.716	354.51
767.115	355.03
767.514	348.0088889
767.913	351.6488889
768.312	355.03
768.711	356.0711111
769.11	356.3311111
769.509	361.7922222
769.907	367.2533333
770.306	364.6522222
770.705	361.5311111
771.103	372.4533333
771.502	382.5955556
771.9	389.0977778
772.299	391.9577778
772.697	406.5211111
773.095	410.9422222
773.493	407.8222222
773.891	411.7233333
774.29	416.1444444
774.688	417.1844444
775.085	411.4633333
775.483	403.6611111
775.881	404.1811111
776.279	394.5588889
776.677	388.8377778
777.074	384.4166667
777.472	383.1166667
777.869	375.5755556
778.267	375.0555556
778.664	371.6744444
779.061	376.6155556
779.459	373.7555556
779.856	374.0155556
780.253	371.1544444
780.65	369.3333333
781.047	368.0322222
781.444	378.1744444
781.841	371.4133333
782.238	370.6333333
782.634	368.2922222
783.031	362.57
783.428	362.57
783.824	368.5511111
784.221	372.9722222
784.617	367.2511111
785.014	362.83
785.41	368.0311111
785.806	366.2111111
786.202	367.7722222
786.598	366.9922222
786.994	367.7722222
787.39	359.4511111
787.786	351.13
788.182	355.5511111
788.578	351.91
788.974	343.5877778
789.369	344.6277778
789.765	342.5466667
790.161	349.3088889
790.556	350.6088889
790.952	360.4911111
791.347	365.6922222
791.742	379.2155556
792.137	379.4755556
792.533	390.3977778
792.928	403.1411111
793.323	401.5811111
793.718	399.5
794.113	398.2
794.508	387.0166667
794.902	386.7566667
795.297	372.9733333
795.692	374.0133333
796.086	366.2122222
796.481	355.0288889
796.875	359.19
797.27	355.55
797.664	357.6311111
798.058	358.9322222
798.453	355.2911111
798.847	359.9722222
799.241	359.1922222
799.635	362.8322222
800.029	365.4333333
800.423	360.4922222
800.817	362.3122222
801.21	363.8722222
801.604	363.0911111
801.998	367.5122222
802.391	358.67
802.785	361.2711111
803.178	356.33
803.572	352.9488889
803.965	356.0688889
804.358	353.7277778
804.752	347.2266667
805.145	347.2266667
805.538	345.1455556
