wl	R
416.237	375.2988889
416.682	365.9366667
417.126	368.7977778
417.57	359.4355556
418.014	359.1755556
418.458	367.4977778
418.902	370.0977778
419.346	379.1988889
419.79	382.8388889
420.233	379.4577778
420.677	378.4177778
421.121	377.6366667
421.565	381.7977778
422.008	390.9
422.452	385.1777778
422.895	381.0177778
423.339	369.3155556
423.782	368.2755556
424.226	364.6344444
424.669	370.6155556
425.113	378.4177778
425.556	381.2788889
425.999	373.4777778
426.442	373.2177778
426.885	372.4366667
427.328	373.2166667
427.771	365.1555556
428.214	368.0166667
428.657	372.6977778
429.1	362.8155556
429.543	361.2544444
429.986	360.9944444
430.429	360.2144444
430.871	360.9955556
431.314	358.1355556
431.757	364.6366667
432.199	364.3766667
432.642	358.1355556
433.084	355.5344444
433.527	352.9344444
433.969	353.4544444
434.411	363.8566667
434.854	358.1344444
435.296	357.8744444
435.738	354.4933333
436.18	354.2333333
436.622	349.5522222
437.064	349.2922222
437.506	351.8922222
437.948	357.6133333
438.39	350.5922222
438.832	353.9733333
439.274	358.3933333
439.715	357.6133333
440.157	352.6722222
440.599	349.8111111
441.04	353.4522222
441.482	354.4933333
441.924	352.4122222
442.365	352.6722222
442.806	361.2544444
443.248	359.4344444
443.689	364.1155556
444.13	369.8366667
444.572	375.0388889
445.013	369.0577778
445.454	368.7977778
445.895	365.4177778
446.336	356.3155556
446.777	357.8755556
447.218	350.8544444
447.659	349.8144444
448.1	347.7344444
448.54	344.3533333
448.981	352.4155556
449.422	346.6933333
449.863	344.0922222
450.303	347.7333333
450.744	337.0711111
451.184	344.6122222
451.625	337.59
452.065	339.41
452.505	347.9922222
452.946	342.01
453.386	346.9511111
453.826	349.2922222
454.266	355.2733333
454.707	358.1344444
455.147	354.7533333
455.587	361.2555556
456.027	356.0544444
456.467	353.7133333
456.906	362.0355556
457.346	363.3366667
457.786	362.8166667
458.226	362.2966667
458.666	363.0766667
459.105	363.5977778
459.545	362.2966667
459.984	364.1166667
460.424	361.7766667
460.863	363.0766667
461.303	368.5377778
461.742	363.3355556
462.181	361.2555556
462.621	359.1744444
463.06	360.2144444
463.499	364.8955556
463.938	365.9355556
464.377	363.3344444
464.816	355.5333333
465.255	341.49
465.694	348.5122222
466.133	347.4711111
466.572	345.1311111
467.01	349.5522222
467.449	341.4911111
467.888	344.0922222
468.326	354.4944444
468.765	356.5744444
469.203	360.9955556
469.642	360.4755556
470.08	359.6955556
470.519	368.0166667
470.957	363.8555556
471.395	363.5955556
471.834	360.7344444
472.272	353.7133333
472.71	355.7944444
473.148	352.1533333
473.586	342.7911111
474.024	345.3922222
474.462	338.1111111
474.9	340.7111111
475.338	343.5711111
475.775	347.2122222
476.213	345.3911111
476.651	347.9911111
477.088	354.4922222
477.526	354.2322222
477.964	349.8111111
478.401	353.1922222
478.838	347.2111111
479.276	347.7311111
479.713	347.9911111
480.15	347.7311111
480.588	348.2511111
481.025	351.8922222
481.462	362.0344444
481.899	364.8944444
482.336	367.7544444
482.773	365.9344444
483.21	365.6744444
483.647	363.0744444
484.084	362.5544444
484.521	358.9133333
484.957	357.6133333
485.394	358.1333333
485.831	361.5144444
486.267	358.6544444
486.704	372.9577778
487.14	371.9177778
487.577	376.3388889
488.013	375.2988889
488.45	373.7388889
488.886	368.7977778
489.322	362.0366667
489.758	363.5966667
490.195	360.4755556
490.631	352.9333333
491.067	359.6944444
491.503	353.7122222
491.939	363.3344444
492.375	370.0966667
492.81	371.1366667
493.246	377.1177778
493.682	369.5766667
494.118	371.9177778
494.553	368.5366667
494.989	360.2155556
495.424	351.6344444
495.86	341.2322222
496.295	336.8111111
496.731	344.8733333
497.166	340.7122222
497.602	342.5322222
498.037	340.9711111
498.472	352.4144444
498.907	357.0955556
499.342	370.6177778
499.777	369.8377778
500.212	368.5366667
500.647	364.3755556
501.082	363.5955556
501.517	369.3166667
501.952	364.1155556
502.387	361.2544444
502.821	359.1733333
503.256	350.0711111
503.69	350.3311111
504.125	354.4922222
504.56	355.7922222
504.994	364.1144444
505.428	360.2144444
505.863	367.7566667
506.297	364.1166667
506.731	362.0366667
507.165	370.8788889
507.6	381.0211111
508.034	377.9011111
508.468	372.44
508.902	374
509.336	376.34
509.77	372.9588889
510.203	375.0388889
510.637	378.68
511.071	373.7388889
511.505	366.4566667
511.938	370.6166667
512.372	374.2577778
512.805	360.4744444
513.239	360.4744444
513.672	366.7155556
514.106	366.1955556
514.539	364.8944444
514.972	367.2355556
515.406	363.0744444
515.839	358.3933333
516.272	353.9722222
516.705	356.3133333
517.138	358.1333333
517.571	346.6911111
518.004	341.23
