wl	W
476.651	39724.69444
477.088	39466.19556
477.526	39244.62444
477.964	38936.19444
478.401	38599.93778
478.838	38201.78667
479.276	37847.32556
479.713	37480.64111
480.15	37041.4
480.588	36703.58222
481.025	36347.56111
481.462	36054.21444
481.899	35725.75889
482.336	35414.46778
482.773	35203.3
483.21	34998.89222
483.647	34799.16667
484.084	34713.08667
484.521	34555.49111
484.957	34451.98667
485.394	34383.59111
485.831	34389.31222
486.267	34422.34
486.704	34422.08
487.14	34406.73667
487.577	34472.01111
488.013	34507.64
488.45	34567.19333
488.886	34585.65778
489.322	34582.79667
489.758	34638.97
490.195	34653.53333
490.631	34738.05222
491.067	34817.89111
491.503	34817.37111
491.939	34871.46333
492.375	34956.76222
492.81	35062.60667
493.246	35189.25556
493.682	35255.57
494.118	35383.51889
494.553	35511.98889
494.989	35608.73111
495.424	35809.49778
495.86	35922.62333
496.295	36064.09667
496.731	36242.23778
497.166	36327.01778
497.602	36501.25778
498.037	36676.01778
498.472	36823.21111
498.907	37015.65444
499.342	37185.99333
499.777	37412.50556
500.212	37633.55556
500.647	37840.82222
501.082	38071.23444
501.517	38244.17444
501.952	38459.76333
502.387	38651.94778
502.821	38913.82778
503.256	39123.17556
503.69	39256.06556
504.125	39477.37667
504.56	39668.52111
504.994	39848.48222
505.428	40066.67222
505.863	40299.68556
506.297	40506.43222
506.731	40679.89222
507.165	40874.93667
507.6	41148.78
508.034	41320.41889
508.468	41498.81889
508.902	41743.01556
509.336	41968.48667
509.77	42131.28444
510.203	42324.76889
510.637	42512.79222
511.071	42737.74333
511.505	42897.94
511.938	43090.12444
512.372	43304.93444
512.805	43475.53333
513.239	43663.29667
513.672	43877.06556
514.106	44047.66444
514.539	44242.44889
514.972	44397.44444
515.406	44533.97556
515.839	44675.70778
516.272	44809.89778
516.705	44961.25222
517.138	45056.95444
517.571	45163.83889
518.004	45306.35222
518.437	45440.02222
518.87	45589.55667
519.302	45709.18333
519.735	45800.98444
520.168	45881.08333
520.6	46007.21222
521.033	46120.59778
521.466	46209.01778
521.898	46300.29778
522.33	46312.78111
522.763	46366.61333
523.195	46448.79222
523.627	46521.60889
524.06	46653.97889
524.492	46722.11444
524.924	46786.34889
525.356	46795.71111
525.788	46927.82222
526.22	47035.74667
526.652	47083.33778
527.084	47124.68778
527.516	47225.07
527.947	47251.59667
528.379	47265.64
528.811	47298.92778
529.242	47433.89889
529.674	47425.31667
530.105	47480.18889
530.537	47540.26222
530.968	47700.45889
531.399	47724.38444
531.831	47819.04556
532.262	47853.11333
532.693	47930.35111
533.124	47934.51222
533.555	47958.43778
533.986	48025.53333
534.417	48034.11556
534.848	48030.21444
535.279	48136.83889
535.71	48156.08333
536.141	48257.76667
536.572	48337.60556
537.002	48387.27667
537.433	48492.08
537.863	48507.42333
538.294	48617.16889
538.724	48685.56444
539.155	48689.46556
539.585	48765.14333
540.015	48809.35333
540.446	48871.50667
540.876	48928.98
541.306	48989.57444
541.736	49066.29222
542.166	49177.33778
542.596	49286.56333
543.026	49416.85333
543.456	49422.83444
543.886	49495.39111
544.316	49580.43111
544.745	49701.09889
545.175	49791.85889
545.605	49855.83333
546.034	49841.00889
546.464	49890.68
546.893	49901.60222
547.323	50012.38778
547.752	50099.50778
548.181	50108.87
548.611	50169.72333
549.04	50204.83222
549.469	50290.91222
549.898	50379.85333
550.327	50393.37667
550.756	50509.10333
551.185	50549.15222
551.614	50590.76111
552.043	50651.35444
552.472	50667.99889
552.9	50697.64556
553.329	50710.90889
553.758	50738.99556
554.186	50770.46222
554.615	50740.81556
555.043	50794.12778
555.472	50871.36556
555.9	50988.91222
556.328	51106.45889
556.757	51186.29667
557.185	51265.35444
557.613	51333.49
558.041	51421.91
558.469	51554.02
558.897	51684.83
559.325	51785.73333
559.753	51839.04556
560.181	51954.51222
560.609	52144.87556
561.037	52367.48667
561.464	52557.33
561.892	52783.58222
562.319	53017.11556
562.747	53191.87556
563.175	53399.92333
563.602	53634.23778
564.029	53861.26889
564.457	54029.52778
564.884	54229.25333
565.311	54447.18333
565.738	54617.52222
566.165	54725.18778
566.592	54884.34444
567.019	54947.27889
567.446	55056.24333
567.873	55107.21556
568.3	55137.12222
568.727	55141.28333
569.154	55158.18667
569.58	55155.32556
570.007	55154.28444
570.434	55076.52667
570.86	55084.32889
571.287	55006.83111
571.713	54903.32778
572.139	54810.22667
572.566	54730.64889
572.992	54641.96889
573.418	54576.17444
573.844	54515.58111
574.27	54473.19111
