wl	RGBW
469.642	47325.42111
470.08	46625.08111
470.519	45978.57333
470.957	45386.93778
471.395	44789.06111
471.834	44191.18444
472.272	43577.44333
472.71	42955.12111
473.148	42360.88556
473.586	41762.22778
474.024	41209.08111
474.462	40561.53222
474.9	39975.09889
475.338	39401.92778
475.775	38859.70333
476.213	38337.50444
476.651	37778.63667
477.088	37245.51444
477.526	36710.83222
477.964	36178.49
478.401	35706.22222
478.838	35123.68889
479.276	34525.81222
479.713	33971.88556
480.15	33406.25556
480.588	32858.05
481.025	32350.41333
481.462	31810.27
481.899	31320.05778
482.336	30795.25778
482.773	30359.91778
483.21	29902.73333
483.647	29445.54889
484.084	29045.31778
484.521	28613.35889
484.957	28182.96
485.394	27847.22333
485.831	27476.63889
486.267	27160.14667
486.704	26833.25222
487.14	26554.46778
487.577	26318.85333
488.013	26065.55556
488.45	25897.03667
488.886	25731.63889
489.322	25586.52556
489.758	25444.27333
490.195	25336.86889
490.631	25259.37111
491.067	25194.87667
491.503	25173.29222
491.939	25161.32889
492.375	25140.78444
492.81	25183.17444
493.246	25229.98444
493.682	25353.51222
494.118	25435.43111
494.553	25539.19444
494.989	25736.32
495.424	25916.80111
495.86	26111.32556
496.295	26368.26444
496.731	26627.54444
497.166	26885.78444
497.602	27145.58444
498.037	27509.66778
498.472	27892.99556
498.907	28254.99778
499.342	28665.11222
499.777	29075.74667
500.212	29539.69222
500.647	30021.06222
501.082	30565.10667
501.517	31135.15667
501.952	31743.43556
502.387	32314.00667
502.821	32968.83667
503.256	33625.74667
503.69	34317.50444
504.125	35003.80222
504.56	35735.87
504.994	36471.05778
505.428	37192.20333
505.863	37894.88444
506.297	38708.61
506.731	39476.04556
507.165	40287.69111
507.6	41082.17333
508.034	41899.54
508.468	42650.85111
508.902	43440.13222
509.336	44279.86444
509.77	45048.6
510.203	45783.00778
510.637	46519.75667
511.071	47230.23889
511.505	47950.60333
511.938	48619.99667
512.372	49276.90778
512.805	49897.14889
513.239	50460.43778
513.672	50988.61889
514.106	51503.79778
514.539	51947.71889
514.972	52303.48111
515.406	52660.54333
515.839	52946.60889
516.272	53253.47889
516.705	53432.14
517.138	53550.20667
517.571	53701.56111
518.004	53795.18222
518.437	53833.67111
518.87	53871.11889
519.302	53814.16556
519.735	53696.87889
520.168	53529.92
520.6	53366.60333
521.033	53147.63333
521.466	52895.11556
521.898	52536.75333
522.33	52212.45889
522.763	51751.63444
523.195	51358.16444
523.627	50952.47111
524.06	50450.29667
524.492	50003.25444
524.924	49514.34222
525.356	48972.63778
525.788	48488.92667
526.22	47970.88889
526.652	47476.25556
527.084	46917.12778
527.516	46376.98444
527.947	45881.31111
528.379	45323.22333
528.811	44792.96222
529.242	44308.47222
529.674	43788.87333
